model,group,mode,label,label_str,precision,recall,f1,support
BERTweet,AAE-no-AAVE,balanced,0,negative,0.7724014336917563,0.832046332046332,0.8011152416356877,518
BERTweet,AAE-no-AAVE,balanced,1,neutral,0.8334504567814477,0.8218988218988219,0.8276343335659456,1443
BERTweet,AAE-no-AAVE,balanced,2,positive,0.8305489260143198,0.8111888111888111,0.8207547169811321,858
BERTweet,AAE-no-AAVE,full,0,negative,0.7894736842105263,0.8209806157354618,0.8049189491335942,877
BERTweet,AAE-no-AAVE,full,1,neutral,0.8334024036469125,0.8347862183478622,0.8340937370385733,2409
BERTweet,AAE-no-AAVE,full,2,positive,0.8334534967555876,0.8106591865357644,0.8218983291859225,1426
BERTweet,AAVE,balanced,0,negative,0.7906197654941374,0.8581818181818182,0.8230165649520488,550
BERTweet,AAVE,balanced,1,neutral,0.818105616093881,0.782051282051282,0.7996722654649734,1248
BERTweet,AAVE,balanced,2,positive,0.8445092322643343,0.8511263467189031,0.8478048780487805,1021
BERTweet,AAVE,full,0,negative,0.7906197654941374,0.8581818181818182,0.8230165649520488,550
BERTweet,AAVE,full,1,neutral,0.818105616093881,0.782051282051282,0.7996722654649734,1248
BERTweet,AAVE,full,2,positive,0.8445092322643343,0.8511263467189031,0.8478048780487805,1021
BERTweet,White,balanced,0,negative,0.7954911433172303,0.8546712802768166,0.8240200166805671,578
BERTweet,White,balanced,1,neutral,0.8327759197324415,0.7923627684964201,0.8120668569099062,1257
BERTweet,White,balanced,2,positive,0.8502994011976048,0.8658536585365854,0.8580060422960725,984
BERTweet,White,full,0,negative,0.7753623188405797,0.8280402010050252,0.8008359253499222,9950
BERTweet,White,full,1,neutral,0.8224431190633974,0.7814625136428511,0.8014292786878189,23822
BERTweet,White,full,2,positive,0.8381221541843303,0.8611529361152936,0.8494814736227886,18596
RoBERTa,AAE-no-AAVE,balanced,0,negative,0.7508650519031141,0.7977941176470589,0.7736185383244206,544
RoBERTa,AAE-no-AAVE,balanced,1,neutral,0.7870081199250468,0.8553971486761711,0.8197787898503578,1473
RoBERTa,AAE-no-AAVE,balanced,2,positive,0.8703125,0.6945137157107232,0.7725381414701803,802
RoBERTa,AAE-no-AAVE,full,0,negative,0.7486800422386484,0.8084378563283923,0.7774122807017544,877
RoBERTa,AAE-no-AAVE,full,1,neutral,0.7808689024390244,0.8505603985056039,0.814226107689251,2409
RoBERTa,AAE-no-AAVE,full,2,positive,0.8685363716038562,0.6949509116409537,0.7721075185040904,1426
RoBERTa,AAVE,balanced,0,negative,0.7339743589743589,0.8327272727272728,0.7802385008517888,550
RoBERTa,AAVE,balanced,1,neutral,0.753393665158371,0.8004807692307693,0.7762237762237763,1248
RoBERTa,AAVE,balanced,2,positive,0.8837744533947065,0.752203721841332,0.8126984126984127,1021
RoBERTa,AAVE,full,0,negative,0.7339743589743589,0.8327272727272728,0.7802385008517888,550
RoBERTa,AAVE,full,1,neutral,0.753393665158371,0.8004807692307693,0.7762237762237763,1248
RoBERTa,AAVE,full,2,positive,0.8837744533947065,0.752203721841332,0.8126984126984127,1021
RoBERTa,White,balanced,0,negative,0.7626582278481012,0.8515901060070671,0.8046744574290484,566
RoBERTa,White,balanced,1,neutral,0.810207336523126,0.7894327894327894,0.799685163321527,1287
RoBERTa,White,balanced,2,positive,0.8585209003215434,0.8291925465838509,0.8436018957345972,966
RoBERTa,White,full,0,negative,0.7477493698235506,0.8347738693467337,0.7888688384461963,9950
RoBERTa,White,full,1,neutral,0.7986111111111112,0.7917051465032323,0.795143134196214,23822
RoBERTa,White,full,2,positive,0.8609158920879619,0.8168423316842331,0.8383002207505519,18596
RoBERTa-Latest,AAE-no-AAVE,balanced,0,negative,0.6986531986531986,0.7572992700729927,0.7267950963222417,548
RoBERTa-Latest,AAE-no-AAVE,balanced,1,neutral,0.7633744855967078,0.779957953749124,0.7715771230502599,1427
RoBERTa-Latest,AAE-no-AAVE,balanced,2,positive,0.7757496740547588,0.7049763033175356,0.7386716325263811,844
RoBERTa-Latest,AAE-no-AAVE,full,0,negative,0.6858316221765913,0.7616875712656784,0.7217720151269584,877
RoBERTa-Latest,AAE-no-AAVE,full,1,neutral,0.7665036674816625,0.7808219178082192,0.7735965453423812,2409
RoBERTa-Latest,AAE-no-AAVE,full,2,positive,0.7866043613707165,0.7082748948106592,0.7453874538745388,1426
RoBERTa-Latest,AAVE,balanced,0,negative,0.648876404494382,0.84,0.7321711568938193,550
RoBERTa-Latest,AAVE,balanced,1,neutral,0.7293423271500843,0.6931089743589743,0.7107641741988496,1248
RoBERTa-Latest,AAVE,balanced,2,positive,0.8175895765472313,0.7375122428991185,0.7754891864057673,1021
RoBERTa-Latest,AAVE,full,0,negative,0.648876404494382,0.84,0.7321711568938193,550
RoBERTa-Latest,AAVE,full,1,neutral,0.7293423271500843,0.6931089743589743,0.7107641741988496,1248
RoBERTa-Latest,AAVE,full,2,positive,0.8175895765472313,0.7375122428991185,0.7754891864057673,1021
RoBERTa-Latest,White,balanced,0,negative,0.6914191419141914,0.8042226487523992,0.743566992014197,521
RoBERTa-Latest,White,balanced,1,neutral,0.7573467674223342,0.723916532905297,0.7402544111612639,1246
RoBERTa-Latest,White,balanced,2,positive,0.8140900195694716,0.7908745247148289,0.8023143683702989,1052
RoBERTa-Latest,White,full,0,negative,0.691139891928982,0.8098492462311557,0.7458003609607108,9950
RoBERTa-Latest,White,full,1,neutral,0.7691798065456473,0.7310469314079422,0.7496287368443708,23822
RoBERTa-Latest,White,full,2,positive,0.816526455612132,0.7933426543342654,0.8047676194632337,18596
